Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
TEAD,Teads Holding Co,<0.01%,Interactive Media & Services,US,---,"$2,173,282.65 ","1,317,141"
FBIO,Fortress Biotech Inc,<0.01%,Biotechnology,US,---,"$2,162,498.75 ","585,250"
APT,Alpha Pro Tech Ltd,<0.01%,Building Products,US,---,"$2,158,312.53 ","451,058"
CHYM,Chime Financial Inc,<0.01%,Transaction & Payment Processing Services,US,---,"$2,154,720.76 ","106,828"
NVCT,Nuvectis Pharma Inc,<0.01%,Biotechnology,US,---,"$2,152,908.52 ","357,626"
SPRO,Spero Therapeutics Inc,<0.01%,Biotechnology,US,---,"$2,144,972.84 ","1,140,943"
RPID,Rapid Micro Biosystems Inc,<0.01%,Life Sciences Tools & Services,US,---,"$2,138,511.82 ","640,273"
NSTS,NSTS Bancorp Inc,<0.01%,Regional Banks,US,---,"$2,135,108.36 ","182,644"
DERM,Journey Medical Corp,<0.01%,Pharmaceuticals,US,---,"$2,130,781.04 ","299,267"
ASPS,Altisource Portfolio Solutions SA,<0.01%,Real Estate Services,US,---,"$2,122,574.74 ","182,039"
APYX,Apyx Medical Corp,<0.01%,Health Care Equipment,US,---,"$2,116,883.72 ","989,198"
SSBI,Summit State Bank,<0.01%,Regional Banks,US,---,"$2,115,168.36 ","177,596"
COOK,Traeger Inc,<0.01%,Household Appliances,US,---,"$2,109,870.44 ","1,729,402"
DXLG,Destination XL Group Inc,<0.01%,Apparel Retail,US,---,"$2,094,895.67 ","1,599,157"
PMVP,PMV Pharmaceuticals Inc,<0.01%,Biotechnology,US,---,"$2,088,632.00 ","1,491,880"
NTWK,NetSol Technologies Inc,<0.01%,Application Software,US,---,"$2,086,371.00 ","439,236"
STUB,Stubhub Holdings Inc,<0.01%,Specialized Consumer Services,US,---,"$2,084,657.28 ","123,792"
ESP,Espey Mfg. & Electronics Corp,<0.01%,Electrical Components & Equipment,US,---,"$2,071,404.95 ","52,295"
GSIT,GSI Technology Inc,<0.01%,Semiconductors,US,---,"$2,068,697.28 ","562,146"
CGTX,Cognition Therapeutics Inc,<0.01%,Pharmaceuticals,US,---,"$2,062,057.50 ","1,527,450"
STRO,Sutro Biopharma Inc,<0.01%,Biotechnology,US,---,"$2,052,833.34 ","2,363,926"
UNCY,Unicycive Therapeutics Inc,<0.01%,Biotechnology,US,---,"$2,046,972.04 ","469,489"
TKNO,Alpha Teknova Inc,<0.01%,Life Sciences Tools & Services,US,---,"$2,036,918.54 ","329,066"
FLWS,1-800-Flowers.com Inc,<0.01%,Other Specialty Retail,US,---,"$2,028,140.00 ","440,900"
CRVO,CervoMed Inc,<0.01%,Biotechnology,US,---,"$2,023,907.66 ","250,174"
RFIL,RF Industries Ltd,<0.01%,Electronic Manufacturing Services,US,---,"$2,006,153.03 ","243,761"
SKIL,Skillsoft Corp,<0.01%,Human Resource & Employment Services,US,---,"$2,003,322.30 ","153,865"
JSPR,Jasper Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,989,508.64 ","835,928"
SWKH,SWK Holdings Corp,<0.01%,Specialized Finance,US,---,"$1,975,715.40 ","135,788"
WYFI,Whitefiber Inc,<0.01%,Internet Services & Infrastructure,US,---,"$1,974,878.62 ","72,686"
SRZN,Surrozen Inc,<0.01%,Biotechnology,US,---,"$1,953,237.15 ","151,590"
LFT,Lument Finance Trust Inc,<0.01%,Mortgage REITs,US,---,"$1,953,210.72 ","966,936"
FBYD,Falcon's Beyond Global Inc,<0.01%,Research & Consulting Services,US,---,"$1,948,446.20 ","176,810"
CLST,Catalyst Bancorp Inc,<0.01%,Regional Banks,US,---,"$1,945,437.30 ","147,942"
VHC,VirnetX Holding Corp,<0.01%,Application Software,US,---,"$1,942,884.90 ","113,619"
SLSN,Solesence Inc,<0.01%,Specialty Chemicals,US,---,"$1,929,391.80 ","599,190"
PAMT,PAMT CORP,<0.01%,Cargo Ground Transportation,US,---,"$1,925,745.00 ","168,925"
